Song,Moods,Styles,Vocals,Speaker,Skills,Timbres,Score,Split
MT0013184611,"Aggressive,Boisterous,Bravado,Confident,Fiery,Gutsy,Lively,Rollicking,Rousing,Slick,Street-Smart,Swaggering","Album Rock,Blues-Rock,Boogie Rock,Hard Rock,Slide Guitar Blues",F1-StJamesInfirmary-Opera-正常27.wav,F1,"vibrato, belting, projection","bright, clear, powerful",0.213,train
MT0034085485,"Atmospheric,Campy,Cheerful,Hypnotic,Laid-Back/Mellow,Quirky,Refined,Soothing,Springlike,Summery","Exotica,Space Age Pop",Alto-2_Breathy_Love_Me_Like_You_Do_Control_Group_0003.wav,Alto-2,"vibrato, legato, head voice","gentle, clear, airy",0.917,train
MT0011716005,"Amiable/Good-Natured,Cheerful,Happy,Joyous,Romantic,Rousing,Summery,Sweet,Whimsical","Adult Alternative Pop/Rock,Alternative/Indie Rock,Jam Bands",Alto-2_Breathy_My_Heart_Will_Go_On_Paired_Speech_Group_0007.wav,Alto-2,"straight tone, breathy","light, gentle, clear",0.112,train
MT0001082164,"Euphoric,Explosive,Lively,Optimistic,Positive,Strong","Club/Dance,Fusion",MT0001082164_vocals.wav,Santana,"vibrato, belting, falsetto","husky, rich, breathy",0.142,train
MT0010554620,"Aggressive,Boisterous,Bravado,Confident,Crunchy,Druggy,Fierce,Greasy,Gritty,Gutsy,Hedonistic,Intense,Malevolent,Menacing,Raucous,Rousing,Rowdy,Sleazy,Street-Smart,Swaggering,Trashy,Trippy,Visceral","Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Hard Rock,Heavy Metal",F4-BlankSpace-Pop-正常-调223.wav,F4,"Belting, Vibrato","Bright, Powerful, Clear",0.275,train
MT0013087767,"Aggressive,Angry,Brash,Fiery,Hostile,Intense,Malevolent,Menacing,Raucous,Reckless,Rowdy,Sleazy,Visceral","Alternative/Indie Rock,Hardcore Punk,Punk Revival,Punk/New Wave",Alto-2_Pharyngeal_You_Raise_Me_Up_Control_Group_0007.wav,Alto-2,"vibrato, legato","warm, gentle",0.045,train
MT0008602863,"Aggressive,Belligerent,Lively,Nervous/Jittery,Pulsing,Strong,Threatening",,M1-IfIWereARichMan-Musical-快乐13.wav,M1,"vibrato, melodic speech","husky, raw",0.092,train
MT0002846256,"Calm/Peaceful,Delicate,Gentle,Laid-Back/Mellow,Precious,Soothing,Sweet","Adult Contemporary,Lullabies,Soft Rock",Tenor-1_Breathy_Stay_Control_Group_0002.wav,Tenor-1,"vibrato, falsetto","warm, gentle, clear",0.715,train
MT0012988776,"Delicate,Dramatic,Earnest,Gentle,Intimate,Laid-Back/Mellow,Melancholy,Passionate,Refined,Reflective,Sad,Searching,Self-Conscious,Sentimental,Smooth,Somber,Warm,Yearning","Country-Pop,Traditional Country",F1-SomeoneLikeYou-Pop-正常32.wav,F1,"vibrato, legato","warm, clear, gentle",0.875,train
MT0032682675,"Amiable/Good-Natured,Confident,Earnest,Gentle,Innocent,Intimate,Organic,Reflective,Reverent,Self-Conscious,Soothing,Spiritual,Warm","Album Rock,Contemporary Pop/Rock,Rock & Roll,Singer/Songwriter",Tenor-1_Glissando_Million_Reasons_Control_Group_0008.wav,Tenor-1,"vibrato, falsetto, belting","raw, warm, reedy",0.385,train
MT0028081047,"Aggressive,Angry,Bleak,Cathartic,Cold,Confrontational,Fierce,Harsh,Malevolent,Menacing,Nihilistic,Outrageous,Reckless,Rousing,Suffocating,Unsettling,Urgent,Visceral","Black Metal,British Metal,Heavy Metal",Alto-1_Glissando_make_it_shine_Paired_Speech_Group_0008.wav,Alto-1,"vibrato, legato","gentle, clear, warm",0.067,train
MT0009185069,"Atmospheric,Circular,Dramatic,Dreamy,Elegant,Ethereal,Gentle,Hypnotic,Light,Lush,Pastoral,Refined,Reserved,Smooth,Soothing,Sophisticated,Sparkling","Adult Alternative,Adult Alternative Pop/Rock,Alternative/Indie Rock,Celtic,Celtic New Age,Contemporary Celtic,International Fusion",Tenor-1_Vibrato_Rolling_in_the_Deep_Vibrato_Group_0001.wav,Tenor-1,"vibrato, belting, head voice","bright, clear, powerful",0.345,train
MT0001370627,"Agreeable,Calm/Peaceful,Nostalgic,Serious",,Tenor-1_Pharyngeal_I_Knew_You_Were_Trouble_Control_Group_0001.wav,Tenor-1,"vibrato, falsetto","bright, clear, smooth",0.825,train
MT0005270263,"Aggressive,Calm/Peaceful,Dreamy,Gloomy,Lonely,Sad,Serious,Threatening,Yearning","Folk-Pop,Singer/Songwriter",Alto-2_Vibrato_Someone_Like_You_Vibrato_Group_0006.wav,Alto-2,"vibrato, legato","warm, gentle, clear",0.175,train
MT0012013969,"Anguished/Distraught,Delicate,Detached,Earnest,Elegant,Gentle,Innocent,Intimate,Laid-Back/Mellow,Literate,Melancholy,Pastoral,Plaintive,Poignant,Refined,Reflective,Sad,Sentimental,Smooth,Sophisticated,Weary,Whimsical,Wistful,Wry","Country-Pop,Traditional Country",Tenor-1_Mixed_Voice_and_Falsetto_What_Was_I_Made_For？_Paired_Speech_Group_0002.wav,Tenor-1,"straight tone, conversational, breathy","gentle, husky, soft",0.167,train
MT0000255724,"Angst-Ridden,Bleak,Brooding,Cerebral,Earnest,Literate,Melancholy,Reflective,Sophisticated","Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock,Emo,Soundtracks",F4-Consequence-Pop-力量33.wav,F4,"vibrato, head voice, vocal run","gentle, clear, sweet",0.235,train
MT0015720220,"Aggressive,Bitter,Bleak,Bravado,Cold,Confident,Detached,Gloomy,Menacing,Nocturnal,Ominous,Paranoid,Snide,Street-Smart,Thuggish,Uncompromising,Unsettling,Visceral","East Coast Rap,Hardcore Rap",Alto-1_Breathy_safe_and_sound_Control_Group_0006.wav,Alto-1,"head voice, soft attack, breathy delivery","gentle, light, breathy",0.112,train
MT0006933170,"Boisterous,Explosive,Nervous/Jittery,Pulsing,Strong","Alternative Pop/Rock,Alternative/Indie Rock",Alto-2_Mixed_Voice_and_Falsetto_Love_Me_Like_You_Do_Control_Group_0004.wav,Alto-2,"falsetto, breathy","gentle, soft, airy",0.045,train
MT0000734482,"Calm/Peaceful,Dreamy,Intimate,Meditative,Mystical,Yearning","Club/Dance,Electronica",Tenor-1_Mixed_Voice_and_Falsetto_Shallow_Mixed_Voice_Group_0001.wav,Tenor-1,"vibrato, head voice","warm, clear",0.49,train
MT0006037085,"Amiable/Good-Natured,Bittersweet,Delicate,Dramatic,Dreamy,Earthy,Elegant,Gentle,Innocent,Intimate,Light,Melancholy,Nostalgic,Precious,Refined,Reflective,Relaxed,Reserved,Reverent,Sentimental,Soft/Quiet,Warm","Christmas,Country-Pop,Holidays,Nashville Sound/Countrypolitan",F1-LetItGo-Musical-正常15.wav,F1,"Belting, Vibrato, Head Voice","Bright, Clear, Powerful",0.185,train
MT0034560618,"Anguished/Distraught,Detached,Dramatic,Earnest,Earthy,Gloomy,Intimate,Melancholy,Organic,Poignant,Reflective,Rustic,Sad,Self-Conscious,Somber,Street-Smart,Weary,Wistful,Yearning","Nashville Sound/Countrypolitan,Traditional Country",F1-WhatWasAWomanToDo-Musical-正常18.wav,F1,"vibrato, belting","bright, clear, gentle",0.133,train
MT0011391187,"Anguished/Distraught,Confrontational,Dramatic,Earnest,Earthy,Greasy,Gritty,Intimate,Passionate,Plaintive,Reflective,Street-Smart,Swaggering,Weary","Electric Texas Blues,Modern Electric Texas Blues,Regional Blues",Alto-2_Mixed_Voice_and_Falsetto_You_Belong_With_Me_Mixed_Voice_Group_0002.wav,Alto-2,"vibrato, legato","gentle, bright, clear",0.435,train
A150-132,"Energetic,Rebellious",,Alto-1_Glissando_rolling_in_the_deep_Paired_Speech_Group_0007.wav,Alto-1,"vibrato, clear tone","bright, clear, smooth",0.225,train
MT0011503204,"Bright,Celebratory,Confident,Joyous,Light,Lively,Playful,Sexy,Sparkling,Stylish,Summery","Club/Dance,Dance-Pop,Latin Dance,Latin Pop,Urban",Tenor-1_Breathy_Enchanted_Control_Group_0003.wav,Tenor-1,"vibrato, legato","bright, gentle, clear",0.583,train
MT0008046899,"Bravado,Bright,Celebratory,Fun,Humorous,Playful,Rousing,Swaggering,Wry","Contemporary Country,Honky Tonk,Neo-Traditionalist Country,New Traditionalist",Tenor-1_Vibrato_Stay_Control_Group_0001.wav,Tenor-1,"vibrato, belting","husky, raw, warm",0.938,train
MT0015883602,"Detached,Dramatic,Gentle,Gloomy,Intimate,Melancholy,Plaintive,Poignant,Refined,Reflective,Smooth,Soft/Quiet,Somber,Weary,Whimsical,Wistful","Contemporary Country,Honky Tonk,New Traditionalist",Alto-1_Pharyngeal_monsters_Control_Group_0001.wav,Alto-1,"vibrato, belting","warm, clear, bright",0.385,train
MT0000421504,"Confident,Dramatic,Elegant,Organic,Passionate,Poignant,Precious,Refined,Reflective,Reverent,Sentimental,Tender,Theatrical,Warm,Wistful","Celebrity,Traditional Pop,Vocal Pop",Alto-2_Vibrato_Young_And_Beautiful_Control_Group_0002.wav,Alto-2,"legato, head voice, light vibrato","gentle, bright, breathy",0.125,train
MT0001189913,"Amiable/Good-Natured,Boisterous,Carefree,Cheerful,Confident,Energetic,Exuberant,Fun,Happy,Humorous,Joyous,Lively,Playful,Refined,Rousing,Rustic,Sentimental,Smooth,Summery,Sweet,Warm","Big Band,Dance Bands,Instrumental Pop,Sweet Bands,Traditional Pop",Alto-2_Vibrato_My_Love_Vibrato_Group_0006.wav,Alto-2,"vibrato, legato","warm, gentle, clear",0.185,train
MT0014936205,"Angst-Ridden,Anguished/Distraught,Autumnal,Bitter,Bittersweet,Brooding,Dramatic,Earnest,Elegant,Gloomy,Melancholy,Plaintive,Poignant,Reflective,Sad,Sophisticated,Wistful,Yearning","Brill Building Pop,Doo Wop,Early R&B,Rock & Roll",F4-LetItBe-Pop-抒情07.wav,F4,"vibrato, legato","clear, bright, gentle",0.375,train
MT0009005900,"Agreeable,Lively,Optimistic,Positive,Pulsing,Strong,Swinging",Traditional Country,Alto-1_Glissando_god_is_a_girl_Control_Group_0003.wav,Alto-1,"vibrato, legato","bright, clear, gentle",0.215,train
MT0000550961,"Agreeable,Lonely,Nostalgic,Pure,Sad,Serious,Yearning","Adult Contemporary,Central European Traditions,German,Singer/Songwriter",Tenor-1_Mixed_Voice_and_Falsetto_Firework_Falsetto_Group_0010.wav,Tenor-1,"vibrato, belting, falsetto","warm, gentle, bright",0.856,train
MT0011894681,"Anguished/Distraught,Earnest,Earthy,Gritty,Intimate,Melancholy,Organic,Plaintive,Poignant,Reflective,Sad,Sparse,Street-Smart,Weary","Acoustic Blues,Acoustic Memphis Blues,Blues Revival,Country Blues,East Coast Blues,Folk-Blues,Piedmont Blues,Regional Blues,Songster",Alto-2_Vibrato_A_Thousand_Years_Paired_Speech_Group_0001.wav,Alto-2,"vibrato, smooth phrasing","clear, gentle, bright",0.125,train
MT0019511872,"Amiable/Good-Natured,Earnest,Earthy,Freewheeling,Gentle,Innocent,Light,Passionate,Refined,Relaxed,Romantic,Sentimental,Smooth,Summery,Sweet,Warm","Contemporary Country,Contemporary Pop/Rock,Country-Pop",F1-Yellow-Rock-抒情41.wav,F1,"vibrato, soft delivery","gentle, breathy, clear",0.315,train
MT0001084444,"Brassy,Bright,Celebratory,Confident,Elegant,Energetic,Gutsy,Lively,Passionate,Rousing,Sexy,Smooth,Spicy,Street-Smart,Warm","Cha-Cha,Latin Pop,Salsa,Son",Alto-2_Mixed_Voice_and_Falsetto_Hey_Jude_Control_Group_0006.wav,Alto-2,"vibrato, legato","gentle, clear, soft",0.132,train
MT0006510599,"Aggressive,Angry,Brash,Confrontational,Fiery,Hostile,Outrageous,Provocative,Raucous,Rebellious,Reckless,Uncompromising,Visceral","Alternative Pop/Rock,Alternative/Indie Rock,Riot Grrrl",Alto-1_Mixed_Voice_and_Falsetto_seasons_in_the_sun_Paired_Speech_Group_0013.wav,Alto-1,"legato, soft","gentle, clear",0.062,train
